participant,graded,image
expert2,3,US.406
expert2,2,US.446
expert2,2,US.109
expert2,1,US.047
expert2,2,US.147
expert2,3,US.296
expert2,7,US.206
expert2,1,US.199
expert2,7,US.081
expert2,5,US.335
expert2,2,US.121
expert2,2,US.297
expert2,4,US.274
expert2,2,US.421
expert2,1,US.100
expert2,2,US.095
expert2,2,US.337
expert2,1,US.048
expert2,1,US.504
expert2,4,US.506
expert2,1,US.097
expert2,6,US.240
expert2,3,US.478
expert2,4,US.124
expert2,2,US.454
expert2,2,US.309
expert2,1,US.162
expert2,4,US.409
expert2,4,US.419
expert2,4,US.024
expert2,2,US.050
expert2,3,US.175
expert2,2,US.063
expert2,6,US.187
expert2,1,US.018
expert2,2,US.493
expert2,3,US.417
expert2,7,US.070
expert2,5,US.249
expert2,1,US.075
expert2,2,US.354
expert2,7,US.115
expert2,1,US.183
expert2,7,US.229
expert2,3,US.232
expert2,3,US.241
expert2,2,US.014
expert2,2,US.284
expert2,1,US.208
expert2,3,US.177
expert2,7,US.450
expert2,6,US.329
expert2,6,US.345
expert2,1,US.318
expert2,2,US.023
expert2,2,US.125
expert2,4,US.113
expert2,2,US.267
expert2,2,US.380
expert2,3,US.391
expert2,2,US.132
expert2,1,US.053
expert2,2,US.227
expert2,1,US.344
expert2,4,US.398
expert2,2,US.350
expert2,2,US.349
expert2,1,US.169
expert2,1,US.221
expert2,6,US.245
expert2,3,US.339
expert2,1,US.211
expert2,1,US.224
expert2,5,US.414
expert2,2,US.465
expert2,2,US.228
expert2,6,US.190
expert2,5,US.251
expert2,2,US.389
expert2,1,US.310
expert2,4,US.179
expert2,2,US.427
expert2,1,US.087
expert2,2,US.242
expert2,1,US.457
expert2,4,US.459
expert2,5,US.420
expert2,3,US.154
expert2,1,US.374
expert2,2,US.093
expert2,2,US.142
expert2,1,US.305
expert2,2,US.161
expert2,1,US.156
expert2,2,US.131
expert2,1,US.042
expert2,3,US.331
expert2,2,US.365
expert2,5,US.283
expert2,1,US.265
expert2,2,US.461
expert2,6,US.064
expert2,2,US.322
expert2,1,US.111
expert2,1,US.191
expert2,2,US.220
expert2,6,US.236
expert2,2,US.313
expert2,1,US.041
expert2,2,US.482
expert2,2,US.342
expert2,7,US.160
expert2,2,US.223
expert2,3,US.188
expert2,1,US.209
expert2,3,US.285
expert2,2,US.423
expert2,2,US.051
expert2,5,US.033
expert2,3,US.007
expert2,2,US.343
expert2,1,US.247
expert2,2,US.058
expert2,3,US.231
expert2,4,US.382
expert2,3,US.044
expert2,6,US.511
expert2,2,US.327
expert2,5,US.452
expert2,2,US.410
expert2,1,US.036
expert2,3,US.368
expert2,2,US.128
expert2,1,US.491
expert2,1,US.193
expert2,6,US.140
expert2,1,US.102
expert2,4,US.330
expert2,2,US.381
expert2,2,US.346
expert2,2,US.120
expert2,2,US.137
expert2,3,US.158
expert2,2,US.375
expert2,2,US.106
expert2,6,US.237
expert2,1,US.040
expert2,2,US.449
expert2,2,US.413
expert2,1,US.301
expert2,3,US.155
expert2,2,US.476
expert2,1,US.069
expert2,2,US.399
expert2,1,US.437
expert2,2,US.316
expert2,3,US.402
expert2,1,US.059
expert2,3,US.303
expert2,3,US.436
expert2,2,US.444
expert2,1,US.462
expert2,5,US.307
expert2,4,US.192
expert2,3,US.338
